-15.084	9.4203E-5
-15.06	8.8402E-5
-15.035	8.3322E-5
-15.011	7.9034E-5
-14.987	7.561E-5
-14.963	7.3116E-5
-14.938	7.1619E-5
-14.914	7.1189E-5
-14.89	7.1898E-5
-14.866	7.382E-5
-14.841	7.7027E-5
-14.817	8.1593E-5
-14.793	8.7586E-5
-14.769	9.5066E-5
-14.744	1.0409E-4
-14.72	1.1469E-4
-14.696	1.2691E-4
-14.672	1.4079E-4
-14.647	1.5636E-4
-14.623	1.7365E-4
-14.599	1.9272E-4
-14.575	2.1359E-4
-14.55	2.3631E-4
-14.526	2.6087E-4
-14.502	2.8726E-4
-14.478	3.1545E-4
-14.453	3.4538E-4
-14.429	3.7704E-4
-14.405	4.1039E-4
-14.381	4.4543E-4
-14.356	4.8217E-4
-14.332	5.206E-4
-14.308	5.6066E-4
-14.284	6.0226E-4
-14.259	6.4527E-4
-14.235	6.8955E-4
-14.211	7.3496E-4
-14.187	7.8139E-4
-14.162	8.288E-4
-14.138	8.7716E-4
-14.114	9.2644E-4
-14.09	9.7654E-4
-14.065	0.001
-14.041	0.0011
-14.017	0.0011
-13.993	0.0012
-13.968	0.0012
-13.944	0.0013
-13.92	0.0013
-13.896	0.0014
-13.871	0.0014
-13.847	0.0015
-13.823	0.0015
-13.799	0.0016
-13.774	0.0016
-13.75	0.0017
-13.726	0.0017
-13.702	0.0017
-13.677	0.0018
-13.653	0.0018
-13.629	0.0019
-13.605	0.0019
-13.58	0.0019
-13.556	0.0019
-13.532	0.002
-13.508	0.002
-13.483	0.002
-13.459	0.002
-13.435	0.002
-13.411	0.002
-13.386	0.002
-13.362	0.002
-13.338	0.002
-13.314	0.002
-13.289	0.002
-13.265	0.002
-13.241	0.002
-13.217	0.002
-13.192	0.0019
-13.168	0.0019
-13.144	0.0019
-13.12	0.0018
-13.095	0.0018
-13.071	0.0018
-13.047	0.0017
-13.023	0.0017
-12.998	0.0016
-12.974	0.0016
-12.95	0.0015
-12.926	0.0015
-12.901	0.0014
-12.877	0.0013
-12.853	0.0013
-12.829	0.0012
-12.804	0.0011
-12.78	0.0011
-12.756	0.001
-12.732	9.3379E-4
-12.707	8.6641E-4
-12.683	7.9943E-4
-12.659	7.3306E-4
-12.635	6.6753E-4
-12.61	6.0312E-4
-12.586	5.402E-4
-12.562	4.7914E-4
-12.538	4.2034E-4
-12.513	3.6416E-4
-12.489	3.1093E-4
-12.465	2.6094E-4
-12.441	2.1449E-4
-12.416	1.7187E-4
-12.392	1.3339E-4
-12.368	9.9384E-5
-12.344	7.0171E-5
-12.319	4.607E-5
-12.295	2.7375E-5
-12.271	1.4364E-5
-12.247	7.3035E-6
-12.222	6.4538E-6
-12.198	1.2068E-5
-12.174	2.4386E-5
-12.15	4.3627E-5
-12.125	6.999E-5
-12.101	1.0366E-4
-12.077	1.448E-4
-12.053	1.936E-4
-12.028	2.5022E-4
-12.004	3.1481E-4
-11.98	3.8748E-4
-11.956	4.6828E-4
-11.931	5.5722E-4
-11.907	6.5427E-4
-11.883	7.5942E-4
-11.859	8.7271E-4
-11.834	9.9421E-4
-11.81	0.0011
-11.786	0.0013
-11.762	0.0014
-11.737	0.0016
-11.713	0.0017
-11.689	0.0019
-11.665	0.0021
-11.64	0.0023
-11.616	0.0024
-11.592	0.0026
-11.568	0.0028
-11.543	0.0031
-11.519	0.0033
-11.495	0.0035
-11.471	0.0037
-11.446	0.004
-11.422	0.0042
-11.398	0.0044
-11.374	0.0047
-11.349	0.0049
-11.325	0.0052
-11.301	0.0054
-11.277	0.0057
-11.252	0.006
-11.228	0.0062
-11.204	0.0065
-11.18	0.0067
-11.155	0.007
-11.131	0.0073
-11.107	0.0075
-11.083	0.0078
-11.058	0.008
-11.034	0.0083
-11.01	0.0086
-10.986	0.0088
-10.961	0.009
-10.937	0.0093
-10.913	0.0095
-10.889	0.0098
-10.864	0.01
-10.84	0.0102
-10.816	0.0104
-10.792	0.0106
-10.767	0.0108
-10.743	0.011
-10.719	0.0112
-10.695	0.0114
-10.67	0.0116
-10.646	0.0117
-10.622	0.0119
-10.598	0.012
-10.573	0.0122
-10.549	0.0123
-10.525	0.0124
-10.501	0.0126
-10.476	0.0127
-10.452	0.0127
-10.428	0.0128
-10.404	0.0129
-10.379	0.013
-10.355	0.013
-10.331	0.0131
-10.307	0.0131
-10.282	0.0131
-10.258	0.0132
-10.234	0.0132
-10.209	0.0132
-10.185	0.0132
-10.161	0.0131
-10.137	0.0131
-10.112	0.0131
-10.088	0.013
-10.064	0.013
-10.04	0.0129
-10.015	0.0128
-9.9912	0.0128
-9.967	0.0127
-9.9427	0.0126
-9.9185	0.0125
-9.8942	0.0124
-9.87	0.0123
-9.8457	0.0122
-9.8215	0.012
-9.7972	0.0119
-9.773	0.0118
-9.7487	0.0116
-9.7245	0.0115
-9.7002	0.0113
-9.676	0.0112
-9.6517	0.011
-9.6275	0.0109
-9.6032	0.0107
-9.579	0.0105
-9.5547	0.0103
-9.5305	0.0102
-9.5062	0.01
-9.482	0.0098
-9.4577	0.0096
-9.4335	0.0095
-9.4092	0.0093
-9.385	0.0091
-9.3607	0.0089
-9.3365	0.0087
-9.3122	0.0085
-9.288	0.0084
-9.2637	0.0082
-9.2395	0.008
-9.2152	0.0078
-9.191	0.0076
-9.1667	0.0075
-9.1425	0.0073
-9.1182	0.0071
-9.094	0.0069
-9.0697	0.0067
-9.0455	0.0066
-9.0212	0.0064
-8.997	0.0062
-8.9727	0.0061
-8.9485	0.0059
-8.9242	0.0057
-8.9	0.0056
-8.8757	0.0054
-8.8515	0.0052
-8.8272	0.0051
-8.803	0.0049
-8.7787	0.0048
-8.7545	0.0046
-8.7302	0.0045
-8.706	0.0043
-8.6817	0.0042
-8.6575	0.0041
-8.6332	0.0039
-8.609	0.0038
-8.5847	0.0037
-8.5605	0.0035
-8.5362	0.0034
-8.512	0.0033
-8.4877	0.0032
-8.4635	0.0031
-8.4392	0.0029
-8.415	0.0028
-8.3907	0.0027
-8.3665	0.0026
-8.3422	0.0025
-8.318	0.0024
-8.2937	0.0023
-8.2695	0.0022
-8.2452	0.0021
-8.2209	0.002
-8.1967	0.0019
-8.1724	0.0018
-8.1482	0.0018
-8.1239	0.0017
-8.0997	0.0016
-8.0754	0.0015
-8.0512	0.0014
-8.0269	0.0014
-8.0027	0.0013
-7.9784	0.0012
-7.9542	0.0011
-7.9299	0.0011
-7.9057	0.001
-7.8814	9.5075E-4
-7.8572	8.9117E-4
-7.8329	8.3357E-4
-7.8087	7.7781E-4
-7.7844	7.2381E-4
-7.7602	6.7162E-4
-7.7359	6.2137E-4
-7.7117	5.7317E-4
-7.6874	5.271E-4
-7.6632	4.8315E-4
-7.6389	4.4124E-4
-7.6147	4.0127E-4
-7.5904	3.6314E-4
-7.5662	3.2679E-4
-7.5419	2.9226E-4
-7.5177	2.5959E-4
-7.4934	2.2885E-4
-7.4692	2.0007E-4
-7.4449	1.7326E-4
-7.4207	1.484E-4
-7.3964	1.2546E-4
-7.3722	1.044E-4
-7.3479	8.5224E-5
-7.3237	6.7954E-5
-7.2994	5.2624E-5
-7.2752	3.927E-5
-7.2509	2.7923E-5
-7.2267	1.8602E-5
-7.2024	1.133E-5
-7.1782	6.1293E-6
-7.1539	3.0365E-6
-7.1297	2.0945E-6
-7.1054	3.351E-6
-7.0812	6.8543E-6
-7.0569	1.2654E-5
-7.0327	2.0807E-5
-7.0084	3.1382E-5
-6.9842	4.4458E-5
-6.9599	6.0123E-5
-6.9357	7.846E-5
-6.9114	9.9541E-5
-6.8872	1.2343E-4
-6.8629	1.5017E-4
-6.8387	1.7987E-4
-6.8144	2.1263E-4
-6.7902	2.4861E-4
-6.7659	2.88E-4
-6.7417	3.3097E-4
-6.7174	3.7762E-4
-6.6932	4.28E-4
-6.6689	4.8214E-4
-6.6447	5.4002E-4
-6.6204	6.0173E-4
-6.5962	6.6745E-4
-6.5719	7.3749E-4
-6.5477	8.1218E-4
-6.5234	8.9179E-4
-6.4992	9.7647E-4
-6.4749	0.0011
-6.4507	0.0012
-6.4264	0.0013
-6.4022	0.0014
-6.3779	0.0015
-6.3537	0.0016
-6.3294	0.0017
-6.3052	0.0018
-6.2809	0.002
-6.2567	0.0021
-6.2324	0.0022
-6.2082	0.0024
-6.1839	0.0025
-6.1596	0.0027
-6.1354	0.0029
-6.1111	0.003
-6.0869	0.0032
-6.0626	0.0034
-6.0384	0.0036
-6.0141	0.0038
-5.9899	0.004
-5.9656	0.0042
-5.9414	0.0044
-5.9171	0.0046
-5.8929	0.0048
-5.8686	0.005
-5.8444	0.0053
-5.8201	0.0055
-5.7959	0.0057
-5.7716	0.006
-5.7474	0.0062
-5.7231	0.0064
-5.6989	0.0067
-5.6746	0.0069
-5.6504	0.0071
-5.6261	0.0074
-5.6019	0.0076
-5.5776	0.0079
-5.5534	0.0081
-5.5291	0.0083
-5.5049	0.0086
-5.4806	0.0088
-5.4564	0.009
-5.4321	0.0092
-5.4079	0.0094
-5.3836	0.0096
-5.3594	0.0098
-5.3351	0.01
-5.3109	0.0102
-5.2866	0.0103
-5.2624	0.0105
-5.2381	0.0106
-5.2139	0.0107
-5.1896	0.0109
-5.1654	0.011
-5.1411	0.0111
-5.1169	0.0111
-5.0926	0.0112
-5.0684	0.0112
-5.0441	0.0112
-5.0199	0.0112
-4.9956	0.0112
-4.9714	0.0112
-4.9471	0.0111
-4.9229	0.0111
-4.8986	0.011
-4.8744	0.0109
-4.8501	0.0107
-4.8259	0.0106
-4.8016	0.0104
-4.7774	0.0102
-4.7531	0.01
-4.7289	0.0097
-4.7046	0.0095
-4.6804	0.0092
-4.6561	0.0089
-4.6319	0.0086
-4.6076	0.0083
-4.5834	0.008
-4.5591	0.0076
-4.5349	0.0072
-4.5106	0.0069
-4.4864	0.0065
-4.4621	0.0061
-4.4379	0.0057
-4.4136	0.0053
-4.3894	0.0049
-4.3651	0.0045
-4.3409	0.0041
-4.3166	0.0037
-4.2924	0.0033
-4.2681	0.003
-4.2439	0.0026
-4.2196	0.0023
-4.1954	0.0019
-4.1711	0.0016
-4.1469	0.0013
-4.1226	0.0011
-4.0983	8.4859E-4
-4.0741	6.6106E-4
-4.0498	5.1241E-4
-4.0256	4.0566E-4
-4.0013	3.4429E-4
-3.9771	3.3205E-4
-3.9528	3.7274E-4
-3.9286	4.7002E-4
-3.9043	6.2766E-4
-3.8801	8.499E-4
-3.8558	0.0011
-3.8316	0.0015
-3.8073	0.002
-3.7831	0.0025
-3.7588	0.0031
-3.7346	0.0038
-3.7103	0.0046
-3.6861	0.0054
-3.6618	0.0064
-3.6376	0.0075
-3.6133	0.0087
-3.5891	0.01
-3.5648	0.0114
-3.5406	0.013
-3.5163	0.0146
-3.4921	0.0163
-3.4678	0.0182
-3.4436	0.0202
-3.4193	0.0224
-3.3951	0.0247
-3.3708	0.0272
-3.3466	0.0298
-3.3223	0.0325
-3.2981	0.0353
-3.2738	0.0382
-3.2496	0.0412
-3.2253	0.0445
-3.2011	0.048
-3.1768	0.0517
-3.1526	0.0556
-3.1283	0.0595
-3.1041	0.0635
-3.0798	0.0674
-3.0556	0.0715
-3.0313	0.0758
-3.0071	0.0804
-2.9828	0.0854
-2.9586	0.0907
-2.9343	0.0959
-2.9101	0.101
-2.8858	0.1059
-2.8616	0.1108
-2.8373	0.1159
-2.8131	0.1216
-2.7888	0.1277
-2.7646	0.1342
-2.7403	0.1407
-2.7161	0.1467
-2.6918	0.1523
-2.6676	0.1577
-2.6433	0.1632
-2.6191	0.1695
-2.5948	0.1765
-2.5706	0.184
-2.5463	0.1913
-2.5221	0.1978
-2.4978	0.2034
