  -12.9730    -3.0000   1.7918e-09
  -12.9730    -2.9496   5.4476e-09
  -12.9730    -2.8992   2.0765e-09
  -12.9730    -2.8487   3.8078e-09
  -12.9730    -2.7983   2.7496e-08
  -12.9730    -2.7479   2.0479e-08
  -12.9730    -2.6975   3.7533e-09
  -12.9730    -2.6471   6.3213e-08
  -12.9730    -2.5966   6.9545e-08
  -12.9730    -2.5462   7.6279e-10
  -12.9730    -2.4958   1.2274e-07
  -12.9730    -2.4454   2.2403e-07
  -12.9730    -2.3950   4.7234e-09
  -12.9730    -2.3445   8.2787e-07
  -12.9730    -2.2941   3.0468e-06
  -12.9730    -2.2437   4.4015e-06
  -12.9730    -2.1933   3.1100e-06
  -12.9730    -2.1429   9.4905e-07
  -12.9730    -2.0924   3.3724e-08
  -12.9730    -2.0420   6.4084e-08
  -12.9730    -1.9916   6.5999e-08
  -12.9730    -1.9412   6.7630e-09
  -12.9730    -1.8908   3.3185e-10
  -12.9730    -1.8403   2.4391e-09
  -12.9730    -1.7899   7.0204e-09
  -12.9730    -1.7395   6.4512e-09
  -12.9730    -1.6891   9.1366e-08
  -12.9730    -1.6387   1.0223e-07
  -12.9730    -1.5882   7.6634e-09
  -12.9730    -1.5378   4.1992e-07
  -12.9730    -1.4874   7.1976e-07
  -12.9730    -1.4370   4.3313e-08
  -12.9730    -1.3866   1.2184e-06
  -12.9730    -1.3361   3.6598e-06
  -12.9730    -1.2857   7.1570e-07
  -12.9730    -1.2353   7.9011e-06
  -12.9730    -1.1849   8.2504e-05
  -12.9730    -1.1345   1.6957e-04
  -12.9730    -1.0840   1.7711e-04
  -12.9730    -1.0336   8.6826e-05
  -12.9730    -0.9832   8.4062e-06
  -12.9730    -0.9328   8.4220e-06
  -12.9730    -0.8823   2.5202e-05
  -12.9730    -0.8319   1.0541e-05
  -12.9730    -0.7815   2.5880e-07
  -12.9730    -0.7311   8.5672e-06
  -12.9730    -0.6807   5.6435e-06
  -12.9730    -0.6302   5.5727e-07
  -12.9730    -0.5798   1.1034e-05
  -12.9730    -0.5294   1.0542e-05
  -12.9730    -0.4790   1.6488e-07
  -12.9730    -0.4286   1.2930e-05
  -12.9730    -0.3781   2.2037e-05
  -12.9730    -0.3277   2.8045e-06
  -12.9730    -0.2773   1.4011e-05
  -12.9730    -0.2269   4.8013e-05
  -12.9730    -0.1765   1.4802e-05
  -12.9730    -0.1260   4.0709e-05
  -12.9730    -0.0756   3.8299e-04
  -12.9730    -0.0252   8.7754e-04
  -12.9730     0.0252   9.1226e-04
  -12.9730     0.0756   4.3117e-04
  -12.9730     0.1260   5.4417e-05
  -12.9730     0.1765   1.5091e-05
  -12.9730     0.2269   6.4956e-05
  -12.9730     0.2773   3.0691e-05
  -12.9730     0.3277   1.5560e-07
  -12.9730     0.3781   1.2612e-05
  -12.9730     0.4286   1.0206e-05
  -12.9730     0.4790   2.9566e-07
  -12.9730     0.5294   1.0199e-05
  -12.9730     0.5798   1.1576e-05
  -12.9730     0.6302   5.6599e-07
  -12.9730     0.6807   7.0378e-06
  -12.9730     0.7311   1.4274e-05
  -12.9730     0.7815   2.9192e-06
  -12.9730     0.8319   4.1158e-06
  -12.9730     0.8823   1.8267e-05
  -12.9730     0.9328   7.8787e-06
  -12.9730     0.9832   6.0083e-06
  -12.9730     1.0336   7.7760e-05
  -12.9730     1.0840   1.7225e-04
  -12.9730     1.1345   1.7571e-04
  -12.9730     1.1849   9.1881e-05
  -12.9730     1.2353   1.0337e-05
  -12.9730     1.2857   6.9836e-07
  -12.9730     1.3361   4.8107e-06
  -12.9730     1.3866   2.3577e-06
  -12.9730     1.4370   4.8362e-08
  -12.9730     1.4874   3.7538e-07
  -12.9730     1.5378   3.2242e-07
  -12.9730     1.5882   7.7972e-09
  -12.9730     1.6387   1.0334e-07
  -12.9730     1.6891   9.3587e-08
  -12.9730     1.7395   6.0739e-09
  -12.9730     1.7899   8.3334e-09
  -12.9730     1.8403   3.1580e-09
  -12.9730     1.8908   3.0561e-11
  -12.9730     1.9412   2.9838e-09
  -12.9730     1.9916   4.5712e-08
  -12.9730     2.0420   5.7713e-08
  -12.9730     2.0924   2.0834e-08
  -12.9730     2.1429   8.4734e-07
  -12.9730     2.1933   3.0327e-06
  -12.9730     2.2437   4.5889e-06
  -12.9730     2.2941   3.4176e-06
  -12.9730     2.3445   1.0248e-06
  -12.9730     2.3950   1.1716e-08
  -12.9730     2.4454   2.8510e-07
  -12.9730     2.4958   2.2230e-07
  -12.9730     2.5462   1.5415e-08
  -12.9730     2.5966   3.2918e-08
  -12.9730     2.6471   5.0405e-08
  -12.9730     2.6975   4.9279e-09
  -12.9730     2.7479   1.6473e-08
  -12.9730     2.7983   2.7305e-08
  -12.9730     2.8487   3.9691e-09
  -12.9730     2.8992   5.0729e-09
  -12.9730     2.9496   8.4793e-09
  -12.9730     3.0000   2.9110e-09
  -12.9240    -3.0000   2.1132e-09
  -12.9240    -2.9496   8.6305e-09
  -12.9240    -2.8992   4.7557e-09
  -12.9240    -2.8487   8.7806e-09
  -12.9240    -2.7983   4.4024e-08
  -12.9240    -2.7479   3.0554e-08
  -12.9240    -2.6975   4.5991e-09
  -12.9240    -2.6471   9.5803e-08
  -12.9240    -2.5966   1.0480e-07
  -12.9240    -2.5462   1.0571e-09
  -12.9240    -2.4958   1.9220e-07
  -12.9240    -2.4454   3.2670e-07
  -12.9240    -2.3950   1.2466e-08
  -12.9240    -2.3445   1.4136e-06
  -12.9240    -2.2941   4.9521e-06
  -12.9240    -2.2437   6.9676e-06
  -12.9240    -2.1933   4.7864e-06
  -12.9240    -2.1429   1.3768e-06
  -12.9240    -2.0924   3.0495e-08
  -12.9240    -2.0420   1.3323e-07
  -12.9240    -1.9916   1.2632e-07
  -12.9240    -1.9412   1.3731e-08
  -12.9240    -1.8908   7.8788e-10
  -12.9240    -1.8403   2.8719e-09
  -12.9240    -1.7899   8.1915e-09
  -12.9240    -1.7395   8.1847e-09
  -12.9240    -1.6891   1.4813e-07
  -12.9240    -1.6387   1.7241e-07
  -12.9240    -1.5882   4.1945e-09
  -12.9240    -1.5378   6.1125e-07
  -12.9240    -1.4874   1.0565e-06
  -12.9240    -1.4370   6.7833e-08
  -12.9240    -1.3866   1.9005e-06
  -12.9240    -1.3361   5.4184e-06
  -12.9240    -1.2857   8.1956e-07
  -12.9240    -1.2353   1.4281e-05
  -12.9240    -1.1849   1.3493e-04
  -12.9240    -1.1345   2.7016e-04
  -12.9240    -1.0840   2.7593e-04
  -12.9240    -1.0336   1.2827e-04
  -12.9240    -0.9832   9.6029e-06
  -12.9240    -0.9328   1.8152e-05
  -12.9240    -0.8823   4.7654e-05
  -12.9240    -0.8319   2.0818e-05
  -12.9240    -0.7815   1.7818e-07
  -12.9240    -0.7311   1.2029e-05
  -12.9240    -0.6807   7.9911e-06
  -12.9240    -0.6302   9.3857e-07
  -12.9240    -0.5798   1.7958e-05
  -12.9240    -0.5294   1.7372e-05
  -12.9240    -0.4790   2.2821e-07
  -12.9240    -0.4286   1.8617e-05
  -12.9240    -0.3781   3.2452e-05
  -12.9240    -0.3277   3.9847e-06
  -12.9240    -0.2773   2.2372e-05
  -12.9240    -0.2269   7.1259e-05
  -12.9240    -0.1765   1.8840e-05
  -12.9240    -0.1260   7.5242e-05
  -12.9240    -0.0756   6.3477e-04
  -12.9240    -0.0252   1.4063e-03
  -12.9240     0.0252   1.4183e-03
  -12.9240     0.0756   6.4450e-04
  -12.9240     0.1260   6.7365e-05
  -12.9240     0.1765   3.5476e-05
  -12.9240     0.2269   1.2284e-04
  -12.9240     0.2773   5.9533e-05
  -12.9240     0.3277   7.2298e-07
  -12.9240     0.3781   1.7194e-05
  -12.9240     0.4286   1.4642e-05
  -12.9240     0.4790   2.8210e-07
  -12.9240     0.5294   1.6640e-05
  -12.9240     0.5798   1.8857e-05
  -12.9240     0.6302   9.9043e-07
  -12.9240     0.6807   1.0052e-05
  -12.9240     0.7311   2.0897e-05
  -12.9240     0.7815   4.2547e-06
  -12.9240     0.8319   6.6383e-06
  -12.9240     0.8823   2.7424e-05
  -12.9240     0.9328   1.0525e-05
  -12.9240     0.9832   1.1842e-05
  -12.9240     1.0336   1.2973e-04
  -12.9240     1.0840   2.7738e-04
  -12.9240     1.1345   2.7674e-04
  -12.9240     1.1849   1.3988e-04
  -12.9240     1.2353   1.3722e-05
  -12.9240     1.2857   1.8462e-06
