-15.0110000000 0.0000790340
-14.9140000000 0.0000711890
-14.8170000000 0.0000815930
-14.7200000000 0.0001146900
-14.6230000000 0.0001736500
-14.5260000000 0.0002608700
-14.4290000000 0.0003770400
-14.3320000000 0.0005206000
-14.2350000000 0.0006895500
-14.1380000000 0.0008771600
-14.0410000000 0.0010786000
-13.9440000000 0.0012834000
-13.8470000000 0.0014826000
-13.7500000000 0.0016666000
-13.6530000000 0.0018218000
-13.5560000000 0.0019428000
-13.4590000000 0.0020155000
-13.3620000000 0.0020375000
-13.2650000000 0.0020024000
-13.1680000000 0.0019088000
-13.0710000000 0.0017622000
-12.9740000000 0.0015643000
-12.8770000000 0.0013300000
-12.7800000000 0.0010688000
-12.6830000000 0.0007994300
-12.5860000000 0.0005402000
-12.4890000000 0.0003109300
-12.3920000000 0.0001333900
-12.2950000000 0.0000273750
-12.1980000000 0.0000120680
-12.1010000000 0.0001036600
-12.0040000000 0.0003148100
-11.9070000000 0.0006542700
-11.8100000000 0.0011240000
-11.7130000000 0.0017248000
-11.6160000000 0.0024446000
-11.5190000000 0.0032754000
-11.4220000000 0.0041960000
-11.3250000000 0.0051826000
-11.2280000000 0.0062186000
-11.1310000000 0.0072592000
-11.0340000000 0.0082980000
-10.9370000000 0.0092833000
-10.8400000000 0.0102040000
-10.7430000000 0.0110330000
-10.6460000000 0.0117350000
-10.5490000000 0.0123230000
-10.4520000000 0.0127440000
-10.3550000000 0.0130350000
-10.2580000000 0.0131590000
-10.1610000000 0.0131360000
-10.0640000000 0.0129800000
-9.9670000000 0.0126750000
-9.8700000000 0.0122780000
-9.7730000000 0.0117580000
-9.6760000000 0.0111750000
-9.5790000000 0.0105210000
-9.4820000000 0.0098207000
-9.3850000000 0.0091049000
-9.2880000000 0.0083610000
-9.1910000000 0.0076376000
-9.0940000000 0.0069140000
-8.9970000000 0.0062227000
-8.9000000000 0.0055606000
-8.8030000000 0.0049300000
-8.7060000000 0.0043470000
-8.6090000000 0.0037950000
-8.5120000000 0.0032931000
-8.4150000000 0.0028261000
-8.3180000000 0.0024019000
-8.2209000000 0.0020169000
-8.1239000000 0.0016666000
-8.0269000000 0.0013561000
-7.9299000000 0.0010767000
-7.8329000000 0.0008335700
-7.7359000000 0.0006213700
-7.6389000000 0.0004412400
-7.5419000000 0.0002922600
-7.4449000000 0.0001732600
-7.3479000000 0.0000852240
-7.2509000000 0.0000279230
-7.0569000000 0.0000126540
-6.9599000000 0.0000601230
-6.8629000000 0.0001501700
-6.7659000000 0.0002880000
-6.6689000000 0.0004821400
-6.5719000000 0.0007374900
-6.4749000000 0.0010662000
-6.3779000000 0.0014721000
-6.2809000000 0.0019633000
-6.1839000000 0.0025483000
-6.0869000000 0.0032157000
