4.5336 -3 1.3134e-06
4.5622 -3 1.925e-06
4.5908 -3 2.5204e-06
4.6194 -3 2.9678e-06
4.648 -3 3.246e-06
4.6766 -3 3.3173e-06
4.7052 -3 3.1223e-06
4.7338 -3 2.8747e-06
4.7624 -3 2.4293e-06
4.791 -3 1.8989e-06
4.8196 -3 1.3443e-06
8.2233 -3 1.0806e-06
8.2519 -3 1.231e-06
8.2805 -3 1.3093e-06
8.3091 -3 1.3116e-06
8.3377 -3 1.2325e-06
8.3663 -3 1.066e-06
-6.2783 -2.9713 1.0729e-06
-6.2497 -2.9713 1.2529e-06
-6.2211 -2.9713 1.3492e-06
-6.1925 -2.9713 1.3569e-06
-6.1639 -2.9713 1.2721e-06
-6.1353 -2.9713 1.1786e-06
-2.7316 -2.9713 1.4033e-06
-2.703 -2.9713 1.807e-06
-2.6744 -2.9713 2.1423e-06
-2.6458 -2.9713 2.3527e-06
-2.6172 -2.9713 2.541e-06
-2.5886 -2.9713 2.2973e-06
-2.56 -2.9713 2.2076e-06
-2.5314 -2.9713 1.8865e-06
-2.5028 -2.9713 1.5776e-06
-2.4741 -2.9713 1.202e-06
2.9032 -2.9713 1.0712e-06
2.9318 -2.9713 1.3338e-06
2.9604 -2.9713 1.4868e-06
2.989 -2.9713 1.4827e-06
3.0176 -2.9713 1.3197e-06
3.0462 -2.9713 1.0305e-06
4.2189 -2.9713 1.1552e-06
4.2475 -2.9713 1.344e-06
4.2761 -2.9713 1.2958e-06
4.3047 -2.9713 1.1262e-06
4.4763 -2.9713 2.2011e-06
4.505 -2.9713 3.4119e-06
4.5336 -2.9713 5.5768e-06
4.5622 -2.9713 7.9139e-06
4.5908 -2.9713 1.0104e-05
4.6194 -2.9713 1.1836e-05
4.648 -2.9713 1.2846e-05
4.6766 -2.9713 1.2951e-05
4.7052 -2.9713 1.2184e-05
4.7338 -2.9713 1.1258e-05
4.7624 -2.9713 9.4329e-06
4.791 -2.9713 7.3159e-06
4.8196 -2.9713 5.2045e-06
4.8482 -2.9713 3.3227e-06
4.8768 -2.9713 1.8421e-06
8.1089 -2.9713 1.0191e-06
8.1375 -2.9713 1.6411e-06
8.1661 -2.9713 2.3609e-06
8.1947 -2.9713 2.8576e-06
8.2233 -2.9713 3.5408e-06
8.2519 -2.9713 4.0717e-06
8.2805 -2.9713 4.3816e-06
8.3091 -2.9713 4.4126e-06
8.3377 -2.9713 4.1438e-06
8.3663 -2.9713 3.6432e-06
8.3949 -2.9713 3.2159e-06
8.4235 -2.9713 2.4831e-06
8.4521 -2.9713 1.7418e-06
8.4807 -2.9713 1.0844e-06
-6.3355 -2.9426 1.0016e-06
-6.3069 -2.9426 1.4591e-06
-6.2783 -2.9426 1.8722e-06
-6.2497 -2.9426 2.1976e-06
-6.2211 -2.9426 2.3834e-06
-6.1925 -2.9426 2.4006e-06
-6.1639 -2.9426 2.2577e-06
-6.1353 -2.9426 2.0943e-06
-6.1067 -2.9426 1.7734e-06
-6.0781 -2.9426 1.4062e-06
-6.0495 -2.9426 1.0446e-06
-2.7602 -2.9426 1.4085e-06
-2.7316 -2.9426 2.1946e-06
-2.703 -2.9426 2.8531e-06
-2.6744 -2.9426 3.3497e-06
-2.6458 -2.9426 3.6328e-06
-2.6172 -2.9426 3.9671e-06
-2.5886 -2.9426 3.614e-06
-2.56 -2.9426 3.4291e-06
-2.5314 -2.9426 2.9405e-06
-2.5028 -2.9426 2.4192e-06
