-5.0199000000 0.0112290000
-4.9229000000 0.0110510000
-4.8259000000 0.0105650000
-4.7289000000 0.0097255000
-4.6319000000 0.0086417000
-4.5349000000 0.0072446000
-4.4379000000 0.0057318000
-4.3409000000 0.0041131000
-4.2439000000 0.0025998000
-4.1469000000 0.0013287000
-4.0498000000 0.0005124100
-3.9528000000 0.0003727400
-3.8558000000 0.0011415000
-3.7588000000 0.0030855000
-3.6618000000 0.0063926000
-3.5648000000 0.0114320000
-3.4678000000 0.0181850000
-3.3708000000 0.0272030000
-3.2738000000 0.0381770000
-3.1768000000 0.0517010000
-3.0798000000 0.0674260000
-2.9828000000 0.0854180000
-2.8858000000 0.1059300000
-2.7888000000 0.1277300000
-2.6918000000 0.1523100000
-2.5948000000 0.1765300000
-2.4978000000 0.2033700000
-2.4008000000 0.2285000000
-2.3038000000 0.2544500000
-2.2068000000 0.2822500000
-2.1098000000 0.3030400000
-2.0128000000 0.3892200000
-1.9158000000 0.4584400000
-1.8188000000 0.5867500000
-1.7218000000 0.7224100000
-1.6248000000 0.1499300000
-1.5278000000 0.0112420000
-1.4308000000 0.0061159000
-1.3338000000 0.0068075000
-1.2368000000 0.0240720000
-1.1398000000 3.6689000000
-1.0428000000 0.2964700000
-0.9457700000 0.1156700000
-0.8487700000 0.0156450000
-0.7517700000 0.0058898000
-0.6547700000 0.0210380000
-0.5577600000 0.0007425500
-0.4607600000 0.0017654000
-0.3637600000 0.0000798840
-0.2667600000 0.0000197470
-0.1697500000 0.0000281710
-0.0727520000 0.0000222760
0.0242510000 0.0000569390
0.1212500000 0.0001060800
0.2182600000 0.0002000400
0.3152600000 0.0116800000
0.4122600000 0.0004749700
0.5092600000 0.0006891800
0.6062600000 0.0011356000
0.7032700000 0.0018209000
0.8002700000 0.0022899000
0.8972700000 0.0045670000
0.9942700000 0.0158040000
1.0913000000 0.0389160000
1.1883000000 0.0989250000
1.2853000000 0.0006383800
1.3823000000 0.0002272000
1.4793000000 0.0001588900
1.5763000000 0.0003534100
1.6733000000 0.0084869000
1.7703000000 0.0049137000
1.8673000000 0.0017788000
1.9643000000 0.0070161000
2.0613000000 0.0206470000
2.1583000000 0.0256190000
2.2553000000 0.0305580000
2.3523000000 0.0374780000
2.4493000000 0.0415010000
2.5463000000 0.0462050000
2.6433000000 0.0482260000
2.7403000000 0.0501730000
2.8373000000 0.0494050000
2.9343000000 0.0484680000
3.0313000000 0.0451200000
3.1283000000 0.0416510000
3.2253000000 0.0364950000
3.3223000000 0.0313720000
3.4193000000 0.0254680000
3.5163000000 0.0198450000
3.6133000000 0.0143430000
3.7103000000 0.0094656000
3.8073000000 0.0054046000
3.9043000000 0.0023643000
4.0013000000 0.0005474400
4.0983000000 0.0000448330
4.1954000000 0.0009187200
4.2924000000 0.0031417000
4.3894000000 0.0066735000
4.4864000000 0.0113220000
4.5834000000 0.0169580000
4.6804000000 0.0233500000
4.7774000000 0.0301450000
4.8744000000 0.0373270000
4.9714000000 0.0442170000
