-17 -3 1.2364e-06
-16.285 -3 1.3241e-06
-16.257 -3 2.0011e-06
-16.228 -3 2.7364e-06
-16.199 -3 3.3915e-06
-16.171 -3 3.7807e-06
-16.142 -3 3.7631e-06
-16.114 -3 3.33e-06
-16.085 -3 2.5984e-06
-16.056 -3 2.0703e-06
-16.028 -3 1.3229e-06
-15.399 -3 1.3404e-06
-15.37 -3 2.4036e-06
-15.341 -3 3.9724e-06
-15.313 -3 5.902e-06
-15.284 -3 7.7006e-06
-15.256 -3 8.5613e-06
-15.227 -3 9.0145e-06
-15.198 -3 8.3083e-06
-15.17 -3 6.5789e-06
-15.141 -3 4.3729e-06
-15.113 -3 2.3488e-06
-14.484 -3 2.9562e-06
-14.455 -3 5.3308e-06
-14.426 -3 1.056e-05
-14.398 -3 1.7255e-05
-14.369 -3 2.4229e-05
-14.341 -3 2.923e-05
-14.312 -3 3.0669e-05
-14.283 -3 2.7663e-05
-14.255 -3 2.11e-05
-14.226 -3 1.5513e-05
-14.198 -3 7.5485e-06
-14.169 -3 2.019e-06
-14.112 -3 1.6559e-06
-14.083 -3 4.7228e-06
-14.055 -3 7.1051e-06
-14.026 -3 7.5333e-06
-13.997 -3 6.1418e-06
-13.969 -3 3.3493e-06
-13.883 -3 2.6024e-06
-13.854 -3 6.371e-06
-13.826 -3 8.6383e-06
-13.797 -3 1.0263e-05
-13.769 -3 8.6579e-06
-13.74 -3 4.7244e-06
-13.683 -3 1.0258e-06
-13.654 -3 7.8158e-06
-13.626 -3 1.6756e-05
-13.597 -3 3.5075e-05
-13.569 -3 5.6694e-05
-13.54 -3 7.5454e-05
-13.511 -3 8.7663e-05
-13.483 -3 8.974e-05
-13.454 -3 8.1926e-05
-13.426 -3 7.2021e-05
-13.397 -3 5.4127e-05
-13.368 -3 3.5437e-05
-13.34 -3 1.9604e-05
-13.311 -3 8.8669e-06
-13.283 -3 2.7419e-06
-13.168 -3 1.0785e-06
-13.14 -3 1.1893e-06
-12.682 -3 1.2255e-06
-12.653 -3 1.6702e-06
-12.625 -3 2.0457e-06
-12.596 -3 2.1864e-06
-12.568 -3 2.2072e-06
-12.539 -3 1.9832e-06
-12.511 -3 1.593e-06
-12.482 -3 1.1154e-06
-11.738 -3 1.2235e-06
-11.71 -3 1.4938e-06
-11.681 -3 1.714e-06
-11.653 -3 1.8317e-06
-11.624 -3 1.8283e-06
-11.595 -3 1.7437e-06
-11.567 -3 1.5071e-06
-11.538 -3 1.1543e-06
-10.881 -3 1.5229e-06
-10.852 -3 2.8679e-06
-10.823 -3 4.8152e-06
-10.795 -3 7.2276e-06
-10.766 -3 8.8076e-06
-10.738 -3 1.0828e-05
-10.709 -3 1.171e-05
-10.68 -3 1.1064e-05
-10.652 -3 8.8408e-06
-10.623 -3 5.7382e-06
-10.595 -3 2.5477e-06
-10.566 -3 1.0117e-06
-10.48 -3 2.5583e-06
-10.452 -3 4.392e-06
-10.423 -3 5.1311e-06
-10.394 -3 4.3609e-06
-10.366 -3 3.1399e-06
-10.337 -3 1.1861e-06
-10.251 -3 2.7847e-06
-10.223 -3 5.3591e-06
-10.194 -3 6.6727e-06
-10.166 -3 6.3119e-06
-10.137 -3 4.0032e-06
-10.108 -3 1.0096e-06
-10.051 -3 5.1915e-06
-10.023 -3 1.7608e-05
-9.9941 -3 3.6883e-05
-9.9655 -3 5.1916e-05
-9.9369 -3 7.3946e-05
-9.9083 -3 9.0312e-05
-9.8797 -3 9.6371e-05
-9.8511 -3 9.0567e-05
-9.8225 -3 7.477e-05
-9.7939 -3 5.3411e-05
-9.7653 -3 3.8757e-05
-9.7368 -3 1.9716e-05
-9.7082 -3 6.9536e-06
