 -1.5084E+01  9.4203E-05
 -1.5060E+01  8.8402E-05
 -1.5035E+01  8.3322E-05
 -1.5011E+01  7.9034E-05
 -1.4987E+01  7.5610E-05
 -1.4963E+01  7.3116E-05
 -1.4938E+01  7.1619E-05
 -1.4914E+01  7.1189E-05
 -1.4890E+01  7.1898E-05
 -1.4866E+01  7.3820E-05
 -1.4841E+01  7.7027E-05
 -1.4817E+01  8.1593E-05
 -1.4793E+01  8.7586E-05
 -1.4769E+01  9.5066E-05
 -1.4744E+01  1.0409E-04
 -1.4720E+01  1.1469E-04
 -1.4696E+01  1.2691E-04
 -1.4672E+01  1.4079E-04
 -1.4647E+01  1.5636E-04
 -1.4623E+01  1.7365E-04
 -1.4599E+01  1.9272E-04
 -1.4575E+01  2.1359E-04
 -1.4550E+01  2.3631E-04
 -1.4526E+01  2.6087E-04
 -1.4502E+01  2.8726E-04
 -1.4478E+01  3.1545E-04
 -1.4453E+01  3.4538E-04
 -1.4429E+01  3.7704E-04
 -1.4405E+01  4.1039E-04
 -1.4381E+01  4.4543E-04
 -1.4356E+01  4.8217E-04
 -1.4332E+01  5.2060E-04
 -1.4308E+01  5.6066E-04
 -1.4284E+01  6.0226E-04
 -1.4259E+01  6.4527E-04
 -1.4235E+01  6.8955E-04
 -1.4211E+01  7.3496E-04
 -1.4187E+01  7.8139E-04
 -1.4162E+01  8.2880E-04
 -1.4138E+01  8.7716E-04
 -1.4114E+01  9.2644E-04
 -1.4090E+01  9.7654E-04
 -1.4065E+01  1.0273E-03
 -1.4041E+01  1.0786E-03
 -1.4017E+01  1.1300E-03
 -1.3993E+01  1.1814E-03
 -1.3968E+01  1.2326E-03
 -1.3944E+01  1.2834E-03
 -1.3920E+01  1.3339E-03
 -1.3896E+01  1.3840E-03
 -1.3871E+01  1.4336E-03
 -1.3847E+01  1.4826E-03
 -1.3823E+01  1.5307E-03
 -1.3799E+01  1.5776E-03
 -1.3774E+01  1.6230E-03
 -1.3750E+01  1.6666E-03
 -1.3726E+01  1.7083E-03
 -1.3702E+01  1.7481E-03
 -1.3677E+01  1.7859E-03
 -1.3653E+01  1.8218E-03
 -1.3629E+01  1.8557E-03
 -1.3605E+01  1.8874E-03
 -1.3580E+01  1.9166E-03
 -1.3556E+01  1.9428E-03
 -1.3532E+01  1.9659E-03
 -1.3508E+01  1.9857E-03
 -1.3483E+01  2.0022E-03
 -1.3459E+01  2.0155E-03
 -1.3435E+01  2.0257E-03
 -1.3411E+01  2.0328E-03
 -1.3386E+01  2.0369E-03
 -1.3362E+01  2.0375E-03
 -1.3338E+01  2.0346E-03
 -1.3314E+01  2.0278E-03
 -1.3289E+01  2.0171E-03
 -1.3265E+01  2.0024E-03
 -1.3241E+01  1.9841E-03
 -1.3217E+01  1.9622E-03
 -1.3192E+01  1.9371E-03
 -1.3168E+01  1.9088E-03
 -1.3144E+01  1.8773E-03
 -1.3120E+01  1.8424E-03
 -1.3095E+01  1.8040E-03
 -1.3071E+01  1.7622E-03
 -1.3047E+01  1.7170E-03
 -1.3023E+01  1.6688E-03
 -1.2998E+01  1.6178E-03
 -1.2974E+01  1.5643E-03
 -1.2950E+01  1.5087E-03
 -1.2926E+01  1.4511E-03
 -1.2901E+01  1.3915E-03
 -1.2877E+01  1.3300E-03
 -1.2853E+01  1.2667E-03
 -1.2829E+01  1.2019E-03
 -1.2804E+01  1.1357E-03
 -1.2780E+01  1.0688E-03
 -1.2756E+01  1.0013E-03
 -1.2732E+01  9.3379E-04
